
2.1.2015 - 22:0 SandySweet killed #ff0000Jo#00ff00skaba for: stupid
2.1.2015 - 22:0 SandySweet killed #000000No-#ff0000name for: idiot
2.1.2015 - 22:23 SandySweet killed muroooo for: idiot
2.1.2015 - 22:23 SandySweet killed muroooo for: noob
3.1.2015 - 1:5 [SGA]H!J@CK killed Jama for: blocking
3.1.2015 - 13:12 SandySweet killed LJBlack for: stop
3.1.2015 - 19:15 SandySweet killed [DoN]Granderski_Do$ for: idiot
3.1.2015 - 19:15 SandySweet killed ErraticPine40 for: .i.
3.1.2015 - 19:16 SandySweet killed [DoN]Granderski_Do$ for: popek
3.1.2015 - 19:17 SandySweet killed BinSlayer for: blocker
3.1.2015 - 19:17 [SiK]PauerfC_Cl killed BinSlayer for: pink car
3.1.2015 - 19:17 SandySweet killed Dark_Delphin for: blocker
3.1.2015 - 19:18 SandySweet killed KorneeL for: blocker
3.1.2015 - 19:19 SandySweet killed #dc143cUmadbro for: bish
4.1.2015 - 15:37 SandySweet killed muroooo for: blocker
4.1.2015 - 15:39 SandySweet killed muroooo for: stinky turk
4.1.2015 - 15:45 SandySweet killed muroooo for: idiot
4.1.2015 - 15:51 SandySweet killed muroooo for: stupid
4.1.2015 - 15:54 SandySweet killed PUTIN_HUILO for: suka
4.1.2015 - 16:11 SandySweet killed #FEFE22Megas#00FFFFXLR for: blocker
4.1.2015 - 16:14 SandySweet killed muroooo for: idiot
4.1.2015 - 16:14 SandySweet killed muroooo for: idiot
4.1.2015 - 16:14 SandySweet killed muroooo for: idiot
4.1.2015 - 16:17 SandySweet killed muroooo for: idiot
4.1.2015 - 16:18 SandySweet killed muroooo for: idiot
4.1.2015 - 16:19 SandySweet killed muroooo for: idiot
4.1.2015 - 16:19 SandySweet killed muroooo for: idiot
4.1.2015 - 16:19 SandySweet killed muroooo for: idiot
4.1.2015 - 16:19 SandySweet killed muroooo for: idiot
4.1.2015 - 16:20 SandySweet killed muroooo for: idiot
4.1.2015 - 16:21 SandySweet killed muroooo for: idiot
4.1.2015 - 16:23 SandySweet killed muroooo for: idiot
4.1.2015 - 20:33 -]alw[-#fff000MoshPit killed muroooo for: ww
